fazi,finc,lazi,linc,sense
94.997,79.966,119.073,79.032,-1
65.923,84.972,154.087,20.008,-1
42.354,46.152,109.786,21.778,-1
14.093,61.963,295.917,21.045,1
126.138,77.947,40.848,21.033,-1
11.982,62.008,295.016,22.991,1
13.848,66.044,291.138,15.938,1
150.192,70.078,231.803,21.928,1
34.984,44.995,106.009,18.009,-1
25.697,57.91,105.235,16.15,-1
137.794,80.029,49.204,7.964,-1
140.128,80.042,226.863,17.976,1
131.872,80.042,45.137,17.976,-1
49.973,87.987,139.033,25.001,-1
52.087,88.008,141.913,4.997,-1
69.918,59.973,149.068,18.04,-1
151.853,81.987,241.145,5.02,-1
70.109,32.201,88.958,30.794,-1
184.099,81.954,97.882,25.017,1
193.884,80.073,110.156,31.973,1
330.061,80.031,54.926,26.987,1
149.869,85.007,60.13,2.989,-1
71.916,39.798,91.056,38.205,-1
80.137,30.172,104.956,27.819,-1
187.86,82.005,98.138,1.981,1
185.86,82.005,96.138,1.981,1
72.1,46.175,102.906,41.824,-1
138.011,85.004,225.987,21.999,1
71.96,29.963,104.012,26.041,-1
184.027,87.987,94.967,25.001,1
307.944,84.99,37.058,10.005,1
127.784,87.942,217.232,15.008,1
59.926,51.927,112.074,38.073,-1
130.195,74.904,47.775,26.061,-1
105.056,84.99,15.942,10.005,-1
129.968,76.013,46.035,22.991,-1
124.027,79.987,38.968,26.006,-1
134.975,88.013,46.032,27.999,-1
292.03,80.021,14.956,34.992,1
30.034,50.009,107.979,13.982,-1
36.156,50.092,99.882,27.891,-1
281.87,37.986,4.05,6.065,1
94.952,85.03,8.066,31.994,-1
87.981,41.931,102.015,41.069,-1
134.158,67.954,50.853,16.06,-1
119.953,79.987,207.049,16.009,1
26.094,64.99,298.922,6.037,1
1.799,60.07,283.168,18.901,1
8.237,64.896,289.77,23.11,1
6.058,64.976,286.944,22.026,1
140.229,59.919,61.808,19.114,-1
59.82,50.012,333.106,3.911,1
60.22,49.806,6.808,35.203,-1
97.859,74.975,185.136,10.037,1
87.954,70.002,359.041,2.985,-1
94.145,84.98,4.853,8.013,-1
110.136,69.995,20.88,2.044,-1
113.976,62.006,31.02,12.989,-1
8.154,36.016,89.946,5.925,-1
99.968,60.004,14.024,6.986,-1
15.758,66.042,290.209,9.907,1
20.242,50.042,101.854,9.876,-1
120.167,67.862,48.769,38.1,-1
10.356,38.036,92.864,5.824,-1
120.165,71.958,34.841,14.052,-1
10.0,90.0,280.0,20.0,1
124.025,88.013,212.968,27.999,1
30.0,90.0,300.0,0.0,1
22.0,90.0,292.0,15.0,1
203.782,85.019,114.218,4.981,1
4.0,90.0,274.0,45.0,1
254.046,75.077,319.857,56.958,-1
295.986,84.98,19.041,54.004,-1
243.923,84.972,332.087,20.008,-1
209.944,84.99,299.058,10.005,-1
21.96,82.015,295.045,20.994,1
250.073,75.039,331.913,27.976,-1
209.961,84.977,297.052,30.005,-1
130.037,74.978,48.954,30.012,-1
206.171,88.03,295.824,9.994,-1
210.102,89.022,299.894,11.998,-1
3.786,68.022,276.186,5.925,1
257.999,88.006,176.025,75.999,-1
260.005,82.134,274.756,81.87,-1
272.002,71.983,252.984,71.016,-1
96.001,78.043,102.975,77.957,-1
105.026,85.061,183.841,65.986,1
119.782,85.019,30.218,4.981,-1
214.211,59.938,133.829,16.101,1
95.965,88.001,6.035,1.999,-1
21.874,61.984,108.1,7.053,-1
88.039,57.923,48.929,51.071,-1
26.032,56.003,111.978,5.985,-1
110.091,71.967,26.907,20.03,-1
