site,S1_azi,S1_inc,L1_azi,L1_inc,S2_azi,S2_inc,L2_azi,L2_inc
PS1,,,,,,,135,11
PS1,69,25,,,228,70,,
PS1,,,,,220,59,,
PS1,,,,,,,,
PS1,,,,,,,131,11
PS2,220,80,,,,,,
PS4,187,30,,,,,,
PS4,188,35,,,,,,
PB3,42,79,,,,,,
PB3,42,73,,,,,,
PB9,137,15,,,,,,
PB9,127,15,,,,,,
PB9,124,14,,,,,,
PB12,141,19,,,,,,
PB12,150,22,,,,,,
PB12,183,39,,,,,,
PV18,133,13,,,,,,
PB13,49,3,,,,,,
PB22,40,52,,,,,,
PB25,53,66,,,,,,
PB26,140,16,,,,,,
PB37,43,73,,,,,,
PB46,104,64,,,,,,
PB54,180,36,,,,,,
PB55,88,41,,,,,,
PB56,178,34,,,,,,
PS11,185,24,,,,,,
PS22,175,42,,,,,,
PS23,155,25,,,,,,
PS23,106,25,,,,,,
PS23,192,74,,,,,,
PS28,73,22,,,,,,
PS59,174,31,,,,,,
PS59,200,43,,,,,,
PS66,,,,,45,47,,
PS66,85,45,,,,,,
PS66,230,65,,,,,,
PS69,134,15,,,,,,
PS78,159,27,,,,,,
MC1,42,71,,,,,,
MC1,74,45,,,,,,
MC1,125,17,,,,,,
MC1,,,,,,,130,20
MC1,,,,,,,112,32
MC1,,,,,162,47,,
MC1,,,,,174,77,,
MC28,222,88,,,,,,
MC32,215,55,,,,,,
MC67,42,75,,,,,,
MC69,232,80,,,,,,
MC69,40,78,,,,,,
MC69,155,38,,,,,,
KJ1,,,122,2,,,,
KJ2,,,123,11,,,,
KJ2,204,67,,,,,,
KJ3,176,28,,,,,,
KJ3,194,18,,,,,,
KJ4,38,62,,,,,,
KJ5,182,61,,,,,,
KJ5,84,39,,,,,,
KJ5,,,294,10,,,,
KJ5,148,6,,,,,,
KJ5,300,5,,,,,,
KJ6,48,64,,,,,,
KJ6,,,289,15,,,,
KJ7,30,54,,,,,,
KJ7,19,28,,,,,,
KJ7,,,115,3,,,,
KJ7,,,128,9,,,,
KJ8,102,30,,,,,,
KJ8,37,24,,,,,,
KJ8,129,30,,,,,,
KJ8,185,8,,,,,,
KJ8,88,5,,,,,,
KJ9,36,35,,,,,,
KJ10,29,20,,,,,,
KJ10,37,27,,,,,,
KJ11,150,25,,,,,,
KJ13,217,15,,,,,,
KJ14,23,71,,,,,,
KJ15,326,24,,,,,,
KJ15,15,42,,,,,,
KJ18,36,54,,,,,,
KJ20,51,34,,,,,,
KJ22,199,52,,,,,,
KJ23,12,75,,,,,,
KJ24,26,51,,,,,,
KJ25,32,65,,,,,,
KJ26,198,40,,,,,,
KJ27,34,36,,,,,,
KJ28,204,72,,,,,,
KJ28,,,,,224,75,,
KJ28,,,,,,,125,10
KJ29,203,46,,,,,,
KJ31,187,72,,,,,,
KJ31,29,62,,,,,,
KJ32,8,40,,,,,,
KJ33,16,65,,,,,,
KJ34,225,25,,,,,,
KJ35,208,60,,,,,,
KJ35,193,80,,,,,,
KJ36,289,15,,,,,,
KJ36,137,74,,,204,61,,
KJ36,,,,,,,,
KJ36,354,32,,,,,,
KJ36,195,85,,,,,,
KJ36,,,,,,,291,24
KJ36,,,,,197,63,,
KJ36,195,88,,,,,,
KJ36,225,25,,,,,,
KJ36,,,,,,,276,10
KJ37,207,45,,,,,,
KJ38,191,54,,,,,,
KJ40,228,30,,,,,,
KJ40,14,27,,,,,,
KJ41,35,35,,,,,,
KJ42,203,73,,,,,,
KJ42,35,49,,,,,,
KJ42,52,36,,,,,,
PV5,22,57,,,,,,
PV5,255,23,,,,,,
PV5,,,,,179,85,,
PV5,,,,,12,76,,
PV7,84,6,,,,,,
PV8,25,53,,,,,,
PV8,37,45,,,,,,
PV9,97,10,,,,,,
PV10,104,16,,,,,,
PV10,42,57,,,,,,
PV10,182,34,,,,,,
PV10,133,21,,,,,,
PV14,22,86,,,,,,
